Island,Archipelago,Deforestation,Replacement,Latitude,Longitude,Area,Area 50,Isolation,Isolation 75,Elevation,Rainfall,Dust,Makatea,Age,Tephra,Irrigation,Dry,Arboriculture,Elite Ownership,Individual Ownership
Kauai (wind.),Hawaii,3.0,3.0,22.08,-159.37,1430.0,1610.0,116.0,116.0,1598.0,1500.0,420.0,0.0,2.5,1.0,1.0,0.0,0.0,1.0,0.0
Kauai (lee.),Hawaii,4.0,3.0,22.05,-159.69,1430.0,1610.0,116.0,116.0,1598.0,600.0,420.0,0.0,2.5,1.0,1.0,0.0,0.0,1.0,0.0
Niihau,Hawaii,5.0,,21.9,-160.15,180.0,1610.0,28.0,28.0,390.0,600.0,420.0,0.0,2.5,1.0,0.0,1.0,0.0,1.0,0.0
Molokai (lee.),Hawaii,4.0,3.0,21.14,-157.26,673.0,4467.0,14.0,14.0,1514.0,400.0,420.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0
Fatu Hiva,Marquesas,3.0,4.0,-10.48,-138.65,80.0,476.0,35.0,35.0,960.0,1279.0,138.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
Tahuata,Marquesas,3.0,4.0,-9.94,-139.09,61.0,476.0,4.0,4.0,1050.0,2403.0,138.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
Ua Huka,Marquesas,3.5,4.0,-8.9,-139.55,77.0,512.0,20.0,20.0,853.0,666.0,138.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
Ua Pou,Marquesas,3.5,4.0,-9.39,-140.07,105.0,512.0,20.0,20.0,1252.0,673.0,138.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
Hiva Oa,Marquesas,3.0,4.0,-9.76,-139.02,320.0,476.0,40.0,65.0,1190.0,1156.0,138.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
Eiao,Marquesas,3.0,4.0,-7.99,-140.69,52.0,400.0,5.0,50.0,577.0,1000.0,138.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
Nukuhiva,Marquesas,3.0,4.0,-8.86,-140.14,330.0,512.0,20.0,65.0,1208.0,1058.0,138.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
Kosrae,Micronesia,2.0,4.0,5.31,162.98,109.0,109.0,550.0,550.0,629.0,5000.0,230.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0
Yap,Micronesia,3.0,4.0,9.55,138.14,100.0,100.0,450.0,450.0,174.0,3023.0,750.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
New Caledonia,New Caledonia,3.0,2.0,-20.86,164.97,16192.0,16192.0,400.0,1400.0,1639.0,1105.0,370.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
South Island (E coast),New Zealand,4.0,1.0,-43.88,171.96,150718.0,266917.0,30.0,30.0,3764.0,685.0,140.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0
South Island (W coast),New Zealand,1.0,1.0,-43.28,170.31,150718.0,266917.0,30.0,30.0,3764.0,6000.0,140.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0
North Island,New Zealand,2.0,1.0,-38.41,175.87,114453.0,266917.0,30.0,30.0,2797.0,1145.0,140.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0
Pitcairn,SE Polynesia,,,-25.07,-130.1,6.0,6.0,175.0,175.0,309.0,1663.0,99.0,0.0,2.0,1.0,,,,,
Mangareva (lee.),SE Polynesia,4.0,4.0,-23.11,-134.98,15.0,25.0,2.0,550.0,441.0,1349.0,118.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0
Mangareva (wind.),SE Polynesia,4.0,4.0,-23.11,-134.97,15.0,25.0,2.0,550.0,441.0,1932.0,118.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0
Easter,SE Polynesia,5.0,,-27.11,-109.35,166.0,166.0,1600.0,1600.0,510.0,1198.0,5.0,0.0,2.5,1.0,0.0,1.0,0.0,0.0,0.0
Upolu,Samoa,2.0,3.0,-13.91,-171.77,1114.0,2823.0,20.0,20.0,1100.0,3000.0,150.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
Savaii,Samoa,2.0,3.0,-13.61,-172.46,1709.0,2823.0,20.0,400.0,1858.0,3000.0,150.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
Huahine,Societies,3.0,4.0,-16.76,-151.01,74.0,432.0,28.0,28.0,669.0,2987.0,182.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
Tahiti,Societies,3.0,4.0,-17.65,-149.44,1042.0,1174.0,164.0,2000.0,2241.0,1706.0,174.0,0.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0
Tahaa,Societies,3.0,4.0,-16.62,-151.49,82.0,432.0,4.0,4.0,590.0,2055.0,182.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
Maupiti,Societies,3.0,4.0,-16.44,-152.26,12.0,50.0,47.0,47.0,372.0,1444.0,182.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
Moorea,Societies,3.0,4.0,-17.53,-149.84,132.0,1174.0,14.0,14.0,1212.0,2000.0,174.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
Bora Bora,Societies,3.0,4.0,-16.5,-151.74,38.0,432.0,20.0,20.0,727.0,2248.0,182.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
Raiatea,Societies,3.0,4.0,-16.82,-151.44,238.0,432.0,4.0,164.0,1033.0,2000.0,182.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
